Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
cp09132,Accessories for information processing equipment,CP09132,,0,
cp07213,Accessories for personal transport equipment,CP07213,,1,
cp09122,Accessories for photographic and cinematographic equipment,CP09122,,2,
cp112,Accommodation services,CP112,,3,
cp1120,Accommodation services,CP1120,,4,
cp11203,Accommodation services of other establishments,CP11203,,5,
cp041,Actual rentals for housing,CP041,,6,
cp0411,Actual rentals paid by tenants,CP0411,,7,
cp04110,Actual rentals paid by tenants,CP04110,,8,
cp04121,Actual rentals paid by tenants for secondary residences,CP04121,,9,
cp12701,Administrative fees,CP12701,,10,
cp09212,"Aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons",CP09212,,11,
cp021,Alcoholic beverages,CP021,,12,
cp02,"Alcoholic beverages, tobacco and narcotics",CP02,,13,
cp02112,Alcoholic soft drinks,CP02112,,14,
cp00,All-items HICP,CP00,,15,
cp0714,Animal drawn vehicles,CP0714,,16,
cp07140,Animal drawn vehicles,CP07140,,17,
cp12322,Articles for babies,CP12322,,18,
cp12132,"Articles for personal hygiene and wellness, esoteric products and beauty products",CP12132,,19,
cp01186,Artificial sugar substitutes,CP01186,,20,
cp091,"Audio-visual, photographic and information processing equipment",CP091,,21,
cp01193,Baby food,CP01193,,22,
cp05202,Bed linen,CP05202,,23,
cp01121,Beef and veal,CP01121,,24,
cp0213,Beer,CP0213,,25,
cp02134,Beer-based drinks,CP02134,,26,
cp0713,Bicycles,CP0713,,27,
cp07130,Bicycles,CP07130,,28,
cp09514,Binding services and E-book downloads,CP09514,,29,
cp09213,"Boats, outboard motors and fitting out of boats",CP09213,,30,
cp0951,Books,CP0951,,31,
cp01113,Bread,CP01113,,32,
cp0111,Bread and cereals,CP0111,,33,
cp01117,Breakfast cereals,CP01117,,34,
cp08304,Bundled telecommunication services,CP08304,,35,
cp01151,Butter,CP01151,,36,
cp09134,Calculators and other information processing equipment,CP09134,,37,
cp09121,Cameras,CP09121,,38,
cp09211,"Camper vans, caravans and trailers",CP09211,,39,
cp1112,Canteens,CP1112,,40,
cp11120,Canteens,CP11120,,41,
cp05121,Carpet and rugs,CP05121,,42,
cp0512,Carpets and other floor coverings,CP0512,,43,
cp111,Catering services,CP111,,44,
cp12621,Charges by banks and post offices,CP12621,,45,
cp01145,Cheese and curd,CP01145,,46,
cp12401,Child care services,CP12401,,47,
cp01183,Chocolate,CP01183,,48,
cp02201,Cigarettes,CP02201,,49,
cp02202,Cigars,CP02202,,50,
cp09421,"Cinemas, theatres, concerts",CP09421,,51,
cp05611,Cleaning and maintenance products,CP05611,,52,
cp05315,Cleaning equipment,CP05315,,53,
cp03141,Cleaning of clothing,CP03141,,54,
cp05622,Cleaning services,CP05622,,55,
cp0314,"Cleaning, repair and hire of clothing",CP0314,,56,
cp12312,Clocks and watches,CP12312,,57,
cp05312,"Clothes washing machines, clothes drying machines and dish washing machines",CP05312,,58,
cp031,Clothing,CP031,,59,
cp03132,Clothing accessories,CP03132,,60,
cp03,Clothing and footwear,CP03,,61,
cp0311,Clothing materials,CP0311,,62,
cp03110,Clothing materials,CP03110,,63,
cp04541,Coal,CP04541,,64,
cp01213,Cocoa and powdered chocolate,CP01213,,65,
cp01211,Coffee,CP01211,,66,
cp05322,"Coffee machines, tea-makers and similar appliances",CP05322,,67,
cp0121,"Coffee, tea and cocoa",CP0121,,68,
cp0735,Combined passenger transport,CP0735,,69,
cp07350,Combined passenger transport,CP07350,,70,
cp08,Communications,CP08,,71,
cp01184,Confectionery products,CP01184,,72,
cp05313,Cookers,CP05313,,73,
cp06131,Corrective eye-glasses and contact lenses,CP06131,,74,
cp12404,Counselling,CP12404,,75,
cp01175,Crisps,CP01175,,76,
cp0942,Cultural services,CP0942,,77,
cp05402,"Cutlery, flatware and silverware",CP05402,,78,
cp0622,Dental services,CP0622,,79,
cp06220,Dental services,CP06220,,80,
cp07221,Diesel,CP07221,,81,
cp07331,Domestic flights,CP07331,,82,
cp0562,Domestic services and household services,CP0562,,83,
cp05621,Domestic services by paid staff,CP05621,,84,
cp01163,Dried fruit and nuts,CP01163,,85,
cp01173,"Dried vegetables, other preserved or processed vegetables",CP01173,,86,
cp01127,"Dried, salted or smoked meat",CP01127,,87,
cp01135,"Dried, smoked or salted fish and seafood",CP01135,,88,
cp07243,"Driving lessons, tests, licences and road worthiness tests",CP07243,,89,
cp01185,Edible ices and ice cream,CP01185,,90,
cp01126,Edible offal,CP01126,,91,
cp10,Education,CP10,,92,
cp105,Education not definable by level,CP105,,93,
cp1050,Education not definable by level,CP1050,,94,
cp10500,Education not definable by level,CP10500,,95,
cp09512,Educational text books,CP09512,,96,
cp01147,Eggs,CP01147,,97,
cp12121,Electric appliances for personal care,CP12121,,98,
cp1212,Electrical appliances for personal care,CP1212,,99,
cp1212_1213,"Electrical appliances for personal care; other appliances, articles and products for personal care",CP1212_1213,,100,
cp0451,Electricity,CP0451,,101,
cp04510,Electricity,CP04510,,102,
cp045,"Electricity, gas and other fuels",CP045,,103,
cp09322,Equipment for camping and open-air recreation,CP09322,,104,
cp09321,Equipment for sport,CP09321,,105,
cp0932,"Equipment for sport, camping and open-air recreation",CP0932,,106,
cp09111,"Equipment for the reception, recording and reproduction of sound",CP09111,,107,
cp0911,"Equipment for the reception, recording and reproduction of sound and picture",CP0911,,108,
cp09112,"Equipment for the reception, recording and reproduction of sound and vision",CP09112,,109,
cp1261,FISIM,CP1261,,110,
cp12610,FISIM,CP12610,,111,
cp11112,Fast food and take away food services,CP11112,,112,
cp12622,"Fees and service charges of brokers, investment counsellors",CP12622,,113,
cp09511,Fiction books,CP09511,,114,
cp126,Financial services n.e.c.,CP126,,115,
cp0113,Fish and seafood,CP0113,,116,
cp08201,Fixed telephone equipment,CP08201,,117,
cp01112,Flours and other cereals,CP01112,,118,
cp011,Food,CP011,,119,
cp01,Food and non-alcoholic beverages,CP01,,120,
cp05321,Food processing appliances,CP05321,,121,
cp0119,Food products n.e.c.,CP0119,,122,
cp032,Footwear,CP032,,123,
cp03213,Footwear for infants and children,CP03213,,124,
cp03211,Footwear for men,CP03211,,125,
cp03212,Footwear for women,CP03212,,126,
cp02123,Fortified wines,CP02123,,127,
cp01131,Fresh or chilled fish,CP01131,,128,
cp01161,Fresh or chilled fruit,CP01161,,129,
cp01133,Fresh or chilled seafood,CP01133,,130,
cp01171,Fresh or chilled vegetables other than potatoes and other tubers,CP01171,,131,
cp01132,Frozen fish,CP01132,,132,
cp01162,Frozen fruit,CP01162,,133,
cp01134,Frozen seafood,CP01134,,134,
cp01172,Frozen vegetables other than potatoes and other tubers,CP01172,,135,
cp0116,Fruit,CP0116,,136,
cp01223,Fruit and vegetables juices,CP01223,,137,
cp0722,Fuels and lubricants for personal transport equipment,CP0722,,138,
cp12703,Funeral services,CP12703,,139,
cp07361,"Funicular, cable-car and chair-lift transport",CP07361,,140,
cp05201,Furnishings fabrics and curtains,CP05201,,141,
cp05,"Furnishings, household equipment and routine household maintenance",CP05,,142,
cp0511,Furniture and furnishings,CP0511,,143,
cp051,"Furniture and furnishings, carpets and other floor coverings",CP051,,144,
cp09311,Games and hobbies,CP09311,,145,
cp0943,Games of chance,CP0943,,146,
cp09430,Games of chance,CP09430,,147,
cp0931,"Games, toys and hobbies",CP0931,,148,
cp04122,Garage rentals and other rentals paid by tenants,CP04122,,149,
cp05112,Garden furniture,CP05112,,150,
cp09331,Garden products,CP09331,,151,
cp0933,"Gardens, plants and flowers",CP0933,,152,
cp0312,Garments,CP0312,,153,
cp03123,Garments for infants (0 to 2 years) and children (3 to 13 years),CP03123,,154,
cp03121,Garments for men,CP03121,,155,
cp03122,Garments for women,CP03122,,156,
cp0452,Gas,CP0452,,157,
cp06211,General practice,CP06211,,158,
cp05401,"Glassware, crystal-ware, ceramic ware and chinaware",CP05401,,159,
cp054,"Glassware, tableware and household utensils",CP054,,160,
cp0540,"Glassware, tableware and household utensils",CP0540,,161,
cp056,Goods and services for routine household maintenance,CP056,,162,
cp12111,Hairdressing for men and children,CP12111,,163,
cp12112,Hairdressing for women,CP12112,,164,
cp1211,Hairdressing salons and personal grooming establishments,CP1211,,165,
cp06,Health,CP06,,166,
cp06132,Hearing aids,CP06132,,167,
cp0455,Heat energy,CP0455,,168,
cp04550,Heat energy,CP04550,,169,
cp05314,"Heaters, air conditioners",CP05314,,170,
cp09424,Hire of equipment and accessories for culture,CP09424,,171,
cp05623,Hire of furniture and furnishings,CP05623,,172,
cp07241,"Hire of garages, parking spaces and personal transport equipment",CP07241,,173,
cp11202,"Holiday centres, camping sites, youth hostels and similar accommodation services",CP11202,,174,
cp09214,"Horses, ponies and accessories",CP09214,,175,
cp063,Hospital services,CP063,,176,
cp0630,Hospital services,CP0630,,177,
cp06300,Hospital services,CP06300,,178,
cp11201,"Hotels, motels, inns and similar accommodation services",CP11201,,179,
cp053,Household appliances,CP053,,180,
cp05111,Household furniture,CP05111,,181,
cp052,Household textiles,CP052,,182,
cp0520,Household textiles,CP0520,,183,
cp04,"Housing, water, electricity, gas and other fuels",CP04,,184,
cp042,Imputed rentals for housing,CP042,,185,
cp0421,Imputed rentals of owner-occupiers,CP0421,,186,
cp04210,Imputed rentals of owner-occupiers,CP04210,,187,
cp0913,Information processing equipment,CP0913,,188,
cp125,Insurance,CP125,,189,
cp1253,Insurance connected with health,CP1253,,190,
cp1252,Insurance connected with the dwelling,CP1252,,191,
cp12520,Insurance connected with the dwelling,CP12520,,192,
cp1254,Insurance connected with transport,CP1254,,193,
cp07332,International flights,CP07332,,194,
cp08303,Internet access provision services,CP08303,,195,
cp05323,Irons,CP05323,,196,
cp01182,"Jams, marmalades and honey",CP01182,,197,
cp12311,Jewellery,CP12311,,198,
cp1231,"Jewellery, clocks and watches",CP1231,,199,
cp02131,Lager beer,CP02131,,200,
cp01123,Lamb and goat,CP01123,,201,
cp12702,Legal services and accountancy,CP12702,,202,
cp08101,Letter handling services,CP08101,,203,
cp1251,Life insurance,CP1251,,204,
cp12510,Life insurance,CP12510,,205,
cp05113,Lighting equipment,CP05113,,206,
cp04522,"Liquefied hydrocarbons (butane, propane, etc.)",CP04522,,207,
cp0453,Liquid fuels,CP0453,,208,
cp04530,Liquid fuels,CP04530,,209,
cp02133,Low and non-alcoholic beer,CP02133,,210,
cp01142,Low fat milk,CP01142,,211,
cp07224,Lubricants,CP07224,,212,
cp09522,Magazines and periodicals,CP09522,,213,
cp0923,Maintenance and repair of other major durables for recreation and culture,CP0923,,214,
cp09230,Maintenance and repair of other major durables for recreation and culture,CP09230,,215,
cp0723,Maintenance and repair of personal transport equipment,CP0723,,216,
cp07230,Maintenance and repair of personal transport equipment,CP07230,,217,
cp043,Maintenance and repair of the dwelling,CP043,,218,
cp04441,Maintenance charges in multi-occupied buildings,CP04441,,219,
cp04323,Maintenance services for heating systems,CP04323,,220,
cp0921_0922,Major durables for indoor and outdoor recreation including musical instruments,CP0921_0922,,221,
cp09222,Major durables for indoor recreation,CP09222,,222,
cp0921,Major durables for outdoor recreation,CP0921,,223,
cp0531,Major household appliances whether electric or not,CP0531,,224,
cp0531_0532,Major household appliances whether electric or not and small electric household appliances,CP0531_0532,,225,
cp09215,Major items for games and sport,CP09215,,226,
cp0551,Major tools and equipment,CP0551,,227,
cp01152,Margarine and other vegetable fats,CP01152,,228,
cp0431,Materials for the maintenance and repair of the dwelling,CP0431,,229,
cp04310,Materials for the maintenance and repair of the dwelling,CP04310,,230,
cp0112,Meat,CP0112,,231,
cp061,"Medical products, appliances and equipment",CP061,,232,
cp0621,Medical services,CP0621,,233,
cp0621_0623,Medical services; paramedical services,CP0621_0623,,234,
cp0114,"Milk, cheese and eggs",CP0114,,235,
cp01221,Mineral or spring waters,CP01221,,236,
cp0122,"Mineral waters, soft drinks, fruit and vegetable juices",CP0122,,237,
cp12,Miscellaneous goods and services,CP12,,238,
cp0953,Miscellaneous printed matter,CP0953,,239,
cp09530,Miscellaneous printed matter,CP09530,,240,
cp0953_954,Miscellaneous printed matter; stationery and drawing materials,CP0953_954,,241,
cp05522,Miscellaneous small tool accessories,CP05522,,242,
cp08202,Mobile telephone equipment,CP08202,,243,
cp0711,Motor cars,CP0711,,244,
cp0712,Motor cycles,CP0712,,245,
cp07120,Motor cycles,CP07120,,246,
cp0712_713,Motor cycles and bicycles,CP0712_713,,247,
cp0712t0714,"Motor cycles, bicycles and animal drawn vehicles",CP0712T0714,,248,
cp12541,Motor vehicle insurance,CP12541,,249,
cp05511,Motorized major tools and equipment,CP05511,,250,
cp09422,"Museums, libraries, zoological gardens",CP09422,,251,
cp09221,Musical instruments,CP09221,,252,
cp0922,Musical instruments and major durables for indoor recreation,CP0922,,253,
cp023,Narcotics,CP023,,254,
cp0230,Narcotics,CP0230,,255,
cp02300,Narcotics,CP02300,,256,
cp04521,Natural gas and town gas,CP04521,,257,
cp07111,New motor cars,CP07111,,258,
cp09521,Newspapers,CP09521,,259,
cp0952,Newspapers and periodicals,CP0952,,260,
cp095,"Newspapers, books and stationery",CP095,,261,
cp012,Non-alcoholic beverages,CP012,,262,
cp0561,Non-durable household goods,CP0561,,263,
cp05403,Non-electric kitchen utensils and articles,CP05403,,264,
cp12131,Non-electrical appliances,CP12131,,265,
cp05521,Non-motorised small tools,CP05521,,266,
_z,Not applicable,_Z,,267,
cp0115,Oils and fats,CP0115,,268,
cp01153,Olive oil,CP01153,,269,
cp072,Operation of personal transport equipment,CP072,,270,
cp09123,Optical instruments,CP09123,,271,
cp0412,Other actual rentals,CP0412,,272,
cp02132,Other alcoholic beer,CP02132,,273,
cp1213,"Other appliances, articles and products for personal care",CP1213,,274,
cp03131,Other articles of clothing,CP03131,,275,
cp0313,Other articles of clothing and clothing accessories,CP0313,,276,
cp01114,Other bakery products,CP01114,,277,
cp01118,Other cereal products,CP01118,,278,
cp09429,Other cultural services,CP09429,,279,
cp05629,Other domestic services and household services,CP05629,,280,
cp01155,Other edible animal fats,CP01155,,281,
cp01154,Other edible oils,CP01154,,282,
cp09119,"Other equipment for the reception, recording and reproduction of sound and picture",CP09119,,283,
cp08203,Other equipment of telephone and telefax equipment,CP08203,,284,
cp12704,Other fees and services,CP12704,,285,
cp1262,Other financial services n.e.c.,CP1262,,286,
cp05122,Other floor coverings,CP05122,,287,
cp01199,Other food products n.e.c.,CP01199,,288,
cp07223,Other fuels for personal transport equipment,CP07223,,289,
cp05119,Other furniture and furnishings,CP05119,,290,
cp05209,Other household textiles,CP05209,,291,
cp0422,Other imputed rentals,CP0422,,292,
cp04220,Other imputed rentals,CP04220,,293,
cp08305,Other information transmission services,CP08305,,294,
cp1255,Other insurance,CP1255,,295,
cp12550,Other insurance,CP12550,,296,
cp092,Other major durables for recreation and culture,CP092,,297,
cp05319,Other major household appliances,CP05319,,298,
cp01128,Other meat preparations,CP01128,,299,
cp01125,Other meats,CP01125,,300,
cp0612,Other medical products,CP0612,,301,
cp0612_0613,"Other medical products, therapeutic appliances and equipment",CP0612_0613,,302,
cp01146,Other milk products,CP01146,,303,
cp05612,Other non-durable small household articles,CP05612,,304,
cp09513,Other non-fiction books,CP09513,,305,
cp06233,Other paramedical services,CP06233,,306,
cp1232,Other personal effects,CP1232,,307,
cp12329,Other personal effects n.e.c.,CP12329,,308,
cp08109,Other postal services,CP08109,,309,
cp01136,Other preserved or processed fish and seafood and fish and seafood preparations,CP01136,,310,
cp0736,Other purchased transport services,CP0736,,311,
cp07369,Other purchased transport services n.e.c.,CP07369,,312,
cp09149,Other recording media,CP09149,,313,
cp093,"Other recreational items and equipment, gardens and pets",CP093,,314,
cp04329,Other services for maintenance and repair of the dwelling,CP04329,,315,
cp0724,Other services in respect of personal transport equipment,CP0724,,316,
cp127,Other services n.e.c.,CP127,,317,
cp1270,Other services n.e.c.,CP1270,,318,
cp04449,Other services related to dwelling,CP04449,,319,
cp0444,Other services relating to the dwelling n.e.c.,CP0444,,320,
cp05329,Other small electric household appliances,CP05329,,321,
cp04549,Other solid fuels,CP04549,,322,
cp09549,Other stationery and drawing materials,CP09549,,323,
cp06139,Other therapeutic appliances and equipment,CP06139,,324,
cp02203,Other tobacco products,CP02203,,325,
cp01176,Other tubers and products of tuber vegetables,CP01176,,326,
cp062,Out-patient services,CP062,,327,
cp09601,Package domestic holidays,CP09601,,328,
cp096,Package holidays,CP096,,329,
cp0960,Package holidays,CP0960,,330,
cp09602,Package international holidays,CP09602,,331,
cp09541,Paper products,CP09541,,332,
cp0623,Paramedical services,CP0623,,333,
cp0733,Passenger transport by air,CP0733,,334,
cp07321,Passenger transport by bus and coach,CP07321,,335,
cp07342,Passenger transport by inland waterway,CP07342,,336,
cp0731,Passenger transport by railway,CP0731,,337,
cp0732,Passenger transport by road,CP0732,,338,
cp07341,Passenger transport by sea,CP07341,,339,
cp0734,Passenger transport by sea and inland waterway,CP0734,,340,
cp07322,Passenger transport by taxi and hired car with driver,CP07322,,341,
cp07311,Passenger transport by train,CP07311,,342,
cp07312,Passenger transport by underground and tram,CP07312,,343,
cp01116,Pasta products and couscous,CP01116,,344,
cp121,Personal care,CP121,,345,
cp09131,Personal computers,CP09131,,346,
cp123,Personal effects n.e.c.,CP123,,347,
cp12113,Personal grooming treatments,CP12113,,348,
cp07222,Petrol,CP07222,,349,
cp0934,Pets and related products,CP0934,,350,
cp0934_0935,Pets and related products; veterinary and other services for pets,CP0934_0935,,351,
cp0611,Pharmaceutical products,CP0611,,352,
cp06110,Pharmaceutical products,CP06110,,353,
cp0912,Photographic and cinematographic equipment and optical instruments,CP0912,,354,
cp09425,Photographic services,CP09425,,355,
cp01115,Pizza and quiche,CP01115,,356,
cp09332,Plants and flowers,CP09332,,357,
cp01122,Pork,CP01122,,358,
cp09113,Portable sound and vision devices,CP09113,,359,
cp103,Post-secondary non-tertiary education,CP103,,360,
cp1030,Post-secondary non-tertiary education,CP1030,,361,
cp10300,Post-secondary non-tertiary education,CP10300,,362,
cp081,Postal services,CP081,,363,
cp0810,Postal services,CP0810,,364,
cp01174,Potatoes,CP01174,,365,
cp01124,Poultry,CP01124,,366,
cp101,Pre-primary and primary education,CP101,,367,
cp1010,Pre-primary and primary education,CP1010,,368,
cp10101,Pre-primary education,CP10101,,369,
cp09141,Pre-recorded recording media,CP09141,,370,
cp01164,Preserved fruit and fruit-based products,CP01164,,371,
cp01143,Preserved milk,CP01143,,372,
cp10102,Primary education,CP10102,,373,
cp12532,Private insurance connected with health,CP12532,,374,
cp09342,Products for pets,CP09342,,375,
cp122,Prostitution,CP122,,376,
cp1220,Prostitution,CP1220,,377,
cp12200,Prostitution,CP12200,,378,
cp122_127,Prostitution; other services n.e.c.,CP122_127,,379,
cp12531,Public insurance connected with health,CP12531,,380,
cp09341,Purchase of pets,CP09341,,381,
cp071,Purchase of vehicles,CP071,,382,
cp01194,Ready-made meals,CP01194,,383,
cp0914,Recording media,CP0914,,384,
cp09,Recreation and culture,CP09,,385,
cp094,Recreational and cultural services,CP094,,386,
cp0941,Recreational and sporting services,CP0941,,387,
cp09411,Recreational and sporting services - Attendance,CP09411,,388,
cp09412,Recreational and sporting services - Participation,CP09412,,389,
cp05311,"Refrigerators, freezers and fridge-freezers",CP05311,,390,
cp0442,Refuse collection,CP0442,,391,
cp04420,Refuse collection,CP04420,,392,
cp07362,Removal and storage services,CP07362,,393,
