Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
5u0,ADC (Andean Development Corporation),5U0,,0,
7h0,AFREXIMBANK (African Export-Import Bank),7H0,,1,
5m0,AMF (Arab Monetary Fund),5M0,,2,
4j8420,ATHENA Mechanism,4J8420,,3,
5d0,AfDB (African Development Bank),5D0,,4,
5z10,Africa Finance Corporation,5Z10,,5,
5z20,African Development Bank Group,5Z20,,6,
5q0,African Development Fund,5Q0,,7,
6a10,African Union,6A10,,8,
4j810,Agency for the Cooperation of Energy Regulators,4J810,,9,
4a0,All the European Union Institutions excluding the ECB and ESM  deprecated,4A0,,10,
4y0,All the European Union Institutions including the ECB and ESM deprecated,4Y0,,11,
li1,Amt fur Volkswirtschaft,LI1,,12,
ad2,Andorra Finance institute,AD2,,13,
5z30,Arab Fund for Economic and Social Development,5Z30,,14,
5e0,AsDB (Asian Development Bank),5E0,,15,
5z40,Asian Clearing Union,5Z40,,16,
5r0,Asian Development Fund,5R0,,17,
6a20,Association of Southeast Asian Nations,6A20,,18,
au1,Australian Bureau of Statistics,AU1,,19,
no98,Avinor (Civil Aviation Administration),NO98,,20,
5n0,BADEA (Banque arabe pour le développement économique en Afrique),5N0,,21,
de6,BAFIN (Bundesanstalt fuer Finanzdienstleistungsaufsicht),DE6,,22,
5o0,BCEAO (Banque Centrale des États de l’Afrique de l’Ouest),5O0,,23,
5w0,BEAC (Banque des Etats de l`Afrique Centrale),5W0,,24,
5b0,BIS (Bank for International Settlements),5B0,,25,
7i0,BLADEX (Banco Latino Americano De Comercio Exterior),7I0,,26,
id1,BPS-Statistics Indonesia,ID1,,27,
bh2,Bahrain Monetary Authority,BH2,,28,
it2,Banca d’Italia (Italy),IT2,,29,
bo2,Banco Central de Bolivia,BO2,,30,
cl2,Banco Central de Chile,CL2,,31,
cr2,Banco Central de Costa Rica,CR2,,32,
cu2,Banco Central de Cuba,CU2,,33,
hn2,Banco Central de Honduras,HN2,,34,
ni2,Banco Central de Nicaragua,NI2,,35,
sv2,Banco Central de Reserva de El Salvador,SV2,,36,
pe2,Banco Central de Reserva del Perú,PE2,,37,
st2,Banco Central de Sao Tome e Principe,ST2,,38,
tl2,Banco Central de Timor-Leste,TL2,,39,
ve2,Banco Central de Venezuela,VE2,,40,
ar2,Banco Central de la Republica Argentina,AR2,,41,
do2,Banco Central de la República Dominicana,DO2,,42,
ec2,Banco Central del Ecuador,EC2,,43,
py2,Banco Central del Paraguay,PY2,,44,
uy2,Banco Central del Uruguay,UY2,,45,
br2,Banco Central do Brasil,BR2,,46,
ao2,Banco Nacional de Angola,AO2,,47,
pa2,Banco Nacional de Panama,PA2,,48,
cv2,Banco de Cabo Verde (Cape Verde),CV2,,49,
es2,Banco de Espana (Spain),ES2,,50,
gt2,Banco de Guatemala,GT2,,51,
mx2,Banco de Mexico,MX2,,52,
mz2,Banco de Moçambique,MZ2,,53,
pt2,Banco de Portugal (Portugal),PT2,,54,
co2,Banco de la República (Colombia),CO2,,55,
bd2,Bangladesh Bank,BD2,,56,
bd1,Bangladesh Bureau of Statistics,BD1,,57,
ma2,Bank Al-Maghrib (Morocco),MA2,,58,
id2,Bank Indonesia,ID2,,59,
my2,Bank Negara Malaysia,MY2,,60,
al2,Bank of Albania,AL2,,61,
bw2,Bank of Botswana,BW2,,62,
ca2,Bank of Canada,CA2,,63,
gb2,Bank of England (United Kingdom),GB2,,64,
er2,Bank of Eritrea,ER2,,65,
ee2,Bank of Estonia,EE2,,66,
fi2,Bank of Finland (Finland),FI2,,67,
gh2,Bank of Ghana,GH2,,68,
gr2,Bank of Greece (Greece),GR2,,69,
gy2,Bank of Guyana,GY2,,70,
il2,Bank of Israel,IL2,,71,
jm2,Bank of Jamaica,JM2,,72,
jp2,Bank of Japan,JP2,,73,
ki2,"Bank of Kiribati, Ltd",KI2,,74,
lv2,Bank of Latvia,LV2,,75,
lt2,Bank of Lithuania,LT2,,76,
mu2,Bank of Mauritius,MU2,,77,
mn2,Bank of Mongolia,MN2,,78,
na2,Bank of Namibia,NA2,,79,
pg2,Bank of Papua New Guinea,PG2,,80,
sl2,Bank of Sierra Leone,SL2,,81,
si2,Bank of Slovenia,SI2,,82,
ss2,Bank of South Sudan,SS2,,83,
sd2,Bank of Sudan,SD2,,84,
tz2,Bank of Tanzania,TZ2,,85,
th2,Bank of Thailand,TH2,,86,
ug2,Bank of Uganda,UG2,,87,
zm2,Bank of Zambia,ZM2,,88,
la2,Bank of the Lao P.D.R.,LA2,,89,
an2,Bank of the Netherlands Antilles,AN2,,90,
mg2,Banque Centrale de Madagascar,MG2,,91,
mr2,Banque Centrale de Mauritanie,MR2,,92,
gn2,Banque Centrale de la Republique de Guinee,GN2,,93,
km2,Banque Centrale des Comoros,KM2,,94,
sn2,Banque Centrale des États de l'Afrique de l'Ouest (BCEAO) (Senegal),SN2,,95,
tg2,Banque Centrale des États de l'Afrique de l'Ouest (BCEAO) (Togo),TG2,,96,
bj2,Banque Centrale des États de l’Afrique de l’Ouest (BCEAO) (Benin),BJ2,,97,
bf2,Banque Centrale des États de l’Afrique de l’Ouest (BCEAO) (Burkina Faso),BF2,,98,
ci2,Banque Centrale des États de l’Afrique de l’Ouest (BCEAO) (Côte d'Ivoire),CI2,,99,
gw2,Banque Centrale des États de l’Afrique de l’Ouest (BCEAO) (Guinea-Bissau),GW2,,100,
ml2,Banque Centrale des États de l’Afrique de l’Ouest (BCEAO) (Mali),ML2,,101,
ne2,Banque Centrale des États de l’Afrique de l’Ouest (BCEAO) (Niger),NE2,,102,
cd2,"Banque Centrale du Congo (Congo, Dem. Rep. of)",CD2,,103,
rw2,Banque Nationale Du Rwanda,RW2,,104,
be2,Banque Nationale de Belgique (Belgium),BE2,,105,
dj2,Banque Nationale de Djibouti,DJ2,,106,
tn2,Banque centrale de Tunisie,TN2,,107,
fr2,Banque de France (France),FR2,,108,
ht2,Banque de la Republique d'Haiti,HT2,,109,
bi2,Banque de la Republique du Burundi,BI2,,110,
cm2,Banque des États de l’Afrique Centrale (BEAC) (Cameroon),CM2,,111,
cf2,Banque des États de l’Afrique Centrale (BEAC) (Central African Republic),CF2,,112,
td2,Banque des États de l’Afrique Centrale (BEAC) (Chad),TD2,,113,
cg2,"Banque des États de l’Afrique Centrale (BEAC) (Congo, Rep. of)",CG2,,114,
gq2,Banque des États de l’Afrique Centrale (BEAC) (Equatorial Guinea),GQ2,,115,
ga2,Banque des États de l’Afrique Centrale (BEAC) (Gabon),GA2,,116,
lb2,Banque du Liban (Lebanon),LB2,,117,
dz2,Banque d’Algérie,DZ2,,118,
bb1,Barbados Statistical Service,BB1,,119,
bm1,Bermuda Government - Department of Statistics,BM1,,120,
bm2,Bermuda Monetary Authority,BM2,,121,
7g0,Black Sea Trade and Development Banks,7G0,,122,
us3,Board of Governors of the Federal Reserve System (USA),US3,,123,
4j820,Body of European Regulators for Electronic Communications,4J820,,124,
ba4,Bosnia and Herzegovina Ministry of Finance and Treasury,BA4,,125,
br1,Brazilian Institute of Statistics and Geography (IBGE) (Brazil),BR1,,126,
