Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
s1a,Affiliates,S1A,,0,
s1g,All resident sectors excluding financial intermediaries (CDIS),S1G,,1,
s1zv,All sectors other than households and NPISH,S1ZV,,2,S1ZV=S1-S1M;S1ZV=S11+S13+S121+S122+S123+S124+S125+S128+S129
s12a,Banks and other financial institutions headquartered in the reporting country or currency area,S12A,,3,
s12b,Banks and other financial institutions headquartered outside the reporting country or currency area,S12B,,4,
s122a,Banks headquartered in the reporting country or currency area,S122A,,5,
s122b,Banks headquartered outside the reporting country or currency area,S122B,,6,
s12l3,Bond funds,S12L3,,7,S12L3=S12LO3+S124B3
s1311b,Budgetary Central Government,S1311B,,8,
s127,Captive financial institutions and money lenders,S127,,9,
s127u,Captive financial institutions and money lenders (sub-sector not identified),S127U,,10,
s13l,Central and state government excluding social security,S13L,,11,S13L=S1311+S1312
s121,Central bank,S121,,12,
s1kk,Central banks and general government,S1KK,,13,
s125e1,"Central clearing counterparties, which are part of other OFIs",S125E1,,14,
s1311,Central government excluding social security,S1311,,15,
s1321,Central government including social security,S1321,,16,
s1331,Central government non profit institutions,S1331,,17,
s13111,"Central government, budgetary units",S13111,,18,
s13112,"Central government, extra-budgetary units",S13112,,19,
s125d1,"Clearing houses, which are part of specialised financial corporations (deprecated)",S125D1,,20,
s124b3,Closed-end Bond funds,S124B3,,21,
s124b2,Closed-end Equity funds,S124B2,,22,
s124b5,Closed-end Hedge funds,S124B5,,23,
s124b4,Closed-end Mixed funds,S124B4,,24,
s124b,Closed-end Non MMFs,S124B,,25,S124B=S124B1+S124B2+S124B3+S124B4+S124B5+S124B9
s124b1,Closed-end Real Estate Funds,S124B1,,26,
s128d,Composite life and non-life insurance corporations excluding reinsurance corporations,S128D,,27,
s123a,Constant Net Asset Value (NAV) MMFs,S123A,,28,
s1272,Corporate groups’ captive financial entities,S1272,,29,
s1k,Corporations,S1K,,30,S1K=S11+S12
s122c,Credit institutions,S122C,,31,
s129a,Defined benefit funds,S129A,,32,
s129b,Defined contribution funds,S129B,,33,
s12c,Deposit taking corporations,S12C,,34,S12C=S121+S122
s122,"Deposit taking corporations, except the Central Bank",S122,,35,
s122u,"Deposit taking corporations, except the Central Bank (sub-sector not identified)",S122U,,36,
s122z,Deposit-taking corporations except the central bank and excluding electronic money institutions principally engaged in financial intermediation,S122Z,,37,
s12do,Domestically controlled financial corporations,S12DO,,38,
s11do,Domestically controlled non-financial corporations,S11DO,,39,S11DO=S11001+S11002
s12e,Electronic money institutions,S12E,,40,
s11e,Electronic money non-financial corporations,S11E,,41,
s143,Employees,S143,,42,
s141,Employers,S141,,43,
s12l2,Equity funds,S12L2,,44,S12L2=S12LO2+S124B2
s1315,European institutions and bodies (EU accounts),S1315,,45,
s126,Financial auxiliaries,S126,,46,
s126u,Financial auxiliaries (sub-sector not identified),S126U,,47,
s12,Financial corporations,S12,,48,S12=S12K+S12M
s125b,Financial corporations engaged in lending,S125B,,49,
s12m,Financial corporations other than MFIs,S12M,,50,S124+S125+S126+S127+S128+S129
s12d,Financial corporations other than central banks,S12D,,51,S12D=S12-S121
s12v,Financial corporations other than central banks and credit institutions,S12V,,52,
s12u,Financial corporations other than the central bank,S12U,,53,
s12sp,"Financial corporations, SPEs",S12SP,,54,
s1f,Financial intermediaries (CDIS),S1F,,55,
s125a,Financial vehicle corporations engaged in securitisation,S125A,,56,(part of S125)
s15003,Foreign controlled,S15003,,57,
s12703,Foreign controlled captive financial institutions and money lenders,S12703,,58,
s12203,"Foreign controlled deposit taking corporations, except the Central Bank",S12203,,59,
s12603,Foreign controlled financial auxiliaries,S12603,,60,
s12003,Foreign controlled financial corporations,S12003,,61,
s12803,Foreign controlled insurance corporations,S12803,,62,
s12303,Foreign controlled money market funds,S12303,,63,
s12403,Foreign controlled non MMF investment funds,S12403,,64,
s11003,Foreign controlled non financial corporations,S11003,,65,
s12503,"Foreign controlled other financial intermediaries, except insurance corporations and pension funds",S12503,,66,
s12903,Foreign controlled pension funds,S12903,,67,
s13,General government,S13,,68,"S13=S1311+S1312+S1313+S1314;
S13=S1321+S1322+S1323"
szy,General government and institutions financed by the European Union (EU) budget (including the European Development Fund (EDF)),SZY,,69,
szv,General government and institutions of the European Union (ESA GFS concept),SZV,,70,SZV=SZU+S13
s131,General government excluding social security,S131,,71,
s134,General government involved in monetary policy operations,S134,,72,
s133,General government non profit institutions,S133,,73,
s13o,"General government, except central government",S13O,,74,S13O=S13-S1311
s13r,"General government, except local government",S13R,,75,S13R=S13-S1313
s13t,"General government, except social security funds",S13T,,76,S13T=S13-S1314
s13p,"General government, except state government",S13P,,77,S13P=S13-S1312
s1l,"General government, households and non profit institutions serving households",S1L,,78,S1L=S13+S14+S15
s126b,Head offices of financial corporations,S126B,,79,
s11b,Head offices of non financial corporations,S11B,,80,
s12l5,Hedge funds,S12L5,,81,S12L5=S12LO5+S124B5
s127a,Holding companies,S127A,,82,
s14,Households,S14,,83,
s1m,Households and non profit institutions serving households (NPISH),S1M,,84,S1M=S14+S15
szx,Institutions financed by the European Union (EU) budget (including the European Development Fund (EDF)),SZX,,85,
szu,Institutions of the European Union (ESA GFS concept),SZU,,86,
s128,Insurance corporations,S128,,87,S128=S1281+S1282
s128u,Insurance corporations (sub-sector not identified),S128U,,88,
s12q,Insurance corporations and Pension Funds,S12Q,,89,S12Q=S128+S129
s12l,Investment Funds (MMFs and non-MMFs),S12L,,90,"S12L=S123+S124
S12L=S12L1+S12L2+S12L3+S12L4+S12L5+S12L9
S12L=S12LO+S124B"
s1h,Issuer headquartered in the reporting country or currency area,S1H,,91,
s1281,Life Insurance Corporations,S1281,,92,
s128b,Life insurance corporations excluding reinsurance corporations,S128B,,93,
s1313,Local government excluding social security,S1313,,94,
s1323,Local government including social security,S1323,,95,
s1333,Local government non profit institutions,S1333,,96,
s13131,"Local government, budgetary units",S13131,,97,
s13132,"Local government, extra-budgetary units",S13132,,98,
s12l4,Mixed funds,S12L4,,99,S12L4=S12LO4+S124B4
s1x,Monetary authorities,S1X,,100,S1X=S121+ S134
s1xa,Monetary authorities and international organizations,S1XA,,101,
