EXPENDITURE,STO,PRICES,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,INSTR_ASSET,ACTIVITY,UNIT_MEASURE,TRANSFORMATION,TIME_FORMAT,REF_YEAR_PRICE,DECIMALS,TABLE_IDENTIFIER,UNIT_MULT,COMPILING_ORG,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1995,82376,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1996,84901,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1997,84179,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1998,86545,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,1999,88672,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2000,89075,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2001,89155,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2002,90121,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2003,94323,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2004,96607,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2005,97766,a,F
cp01,p31,l,a,n,gb,w2,s14,s1,d,_z,_z,xdc,n,p1y,2018.0,0,t0501,6,gb1,2006,98702,a,F
