Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
i55,Accommodation,I55,,0,
i,Accommodation and food service activities,I,,1,
m692,"Accounting, bookkeeping and auditing activities; tax consultancy",M692,,2,
k66,Activities auxiliary to financial services and insurance activities,K66,,3,
u,Activities of extraterritorial organisations and bodies,U,,4,
u99,Activities of extraterritorial organisations and bodies,U99,,5,
m701,Activities of head offices,M701,,6,
m70,Activities of head offices; management consultancy activities,M70,,7,
k642,Activities of holding companies,K642,,8,
t97,Activities of households as employers of domestic personnel,T97,,9,
t,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,,10,
s94,Activities of membership organisations,S94,,11,
atuxfprv,Activities other than financial and insurance,ATUXFPRV,,12,ATUXFPRV=A+B+C+D35+E+F+G+H+I+J+L+M+N+P85+Q+R+S+O_T_U+PRV_VE
n,Administrative and support service activities,N,,13,
m731,Advertising,M731,,14,
m73,Advertising and market research,M73,,15,
m73t75,"Advertising and market research; other professional, scientific and technical activities; veterinary activities",M73T75,,16,M73T75=M73+M74+M75
a,"Agriculture, forestry and fishing",A,,17,
h51,Air transport,H51,,18,
fdi_t,All FDI activities,FDI_T,,19,Non Standard NACE/ISIC activity
a_f_htu,All activities except Industry and Trade,A_F_HTU,,20,A_F_HTU=A+F+H+I+J+K+L+M+N+O+P+Q+R+S+T+U
ats,All activities except activities of households as employers; undifferentiated goods- and services-producing activities of households for own use and activities of extraterritorial organisations and bodies,ATS,,21,ATS=A+B+C+D+E+F+G+H+I+J+K+L+M+N+O+P+Q+R+S
atn_rtu,"All activities except activities of public administration, defence, education, human health and social work",ATN_RTU,,22,ATN_RTU= A+B+C+D+E+F+G+H+I+J+K+L+M+N+R+S+T+U
m71,Architectural and engineering activities; technical testing and analysis,M71,,23,
r,"Arts, entertainment and recreation",R,,24,
rtt,"Arts, entertainment and recreation; Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use; other service activities",RTT,,25,RTT=R+S+T
r_s,"Arts, entertainment and recreation; other service activities",R_S,,26,R+S
rtu,"Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies",RTU,,27,RTU=R+S+T+U
btn,Business economy,BTN,,28,BTN=B+C+D+E+F+G+H+I+J+K+L+M+N
f42,Civil engineering,F42,,29,
j_h53,Communication & services related to broadcasting,J_H53,,30,J_H53 = J + H53
j62,"Computer programming, consultancy and related activities",J62,,31,
j62_63,"Computer programming, consultancy, and information service activities",J62_63,,32,J62_63=J62+J63
f,Construction,F,,33,
f41,Construction of buildings,F41,,34,
r90,"Creative, arts and entertainment activities",R90,,35,
r90t92,"Creative, arts and entertainment activities; libraries, archives, museums and other cultural activities; gambling and betting activities",R90T92,,36,R90T92=R90+R91+R92
a01,"Crop and animal production, hunting and related service activities",A01,,37,
p,Education,P,,38,
p85,Education,P85,,39,
