Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
f81b,Advances,F81B,,0,
n21121,Agricultural land,N21121,,1,
ng,All non-financial assets (gross),NG,,2,
nn,All non-financial assets (net),NN,,3,
nlg,"All non-financial assets, other than inventories (gross)",NLG,,4,NLG=N11G+N13G+N2G
fpu,Amount outstanding in the government debt from the financing of public undertakings deprecated,FPU,,5,
n1151g,Animal resources yielding repeat products (gross),N1151G,,6,
n1151n,Animal resources yielding repeat products (net),N1151N,,7,
n132g,Antiques and other art objects (gross),N132G,,8,
n132n,Antiques and other art objects (net),N132N,,9,
fj,Arrears,FJ,,10,
f3vrc,Asset price-linked variable rate,F3VRC,,11,
fca,"Asset swaps, securities lending without cash collateral and repurchase agreements",FCA,,12,
fr,Assets in remaining net flows of households deprecated,FR,,13,
f4a21,Automobile loans,F4A21,,14,
f5222,Bond  Fund Shares,F5222,,15,
n1121g,Buildings other than dwellings (gross),N1121G,,16,
n1121n,Buildings other than dwellings (net),N1121N,,17,
f64,Claims of pension funds on pension managers,F64,,18,
f6p,Claims of pension funds on pension managers and entitlements to non-pension benefits,F6P,,19,F6P=F64+F65
f29e,"Coins issuance, as liability of government",F29E,,20,
n11321g,Computer hardware (gross),N11321G,,21,
n11321n,Computer hardware (net),N11321N,,22,
n11731g,Computer software (gross),N11731G,,23,
n11731n,Computer software (net),N11731N,,24,
n1173g,Computer software and databases (gross),N1173G,,25,
n1173n,Computer software and databases (net),N1173N,,26,
f4cl,Concessional loans,F4CL,,27,
f4a,Consumer credit,F4A,,28,
nmn,Consumer durable (net),NMN,,29,
n22g,"Contracts, leases and licences (gross)",N22G,,30,
n22n,"Contracts, leases and licences (net)",N22N,,31,
n116g,Costs of ownership transfer on non-produced assets (gross),N116G,,32,
n116n,Costs of ownership transfer on non-produced assets (net),N116N,,33,
f4a11,Credit cards,F4A11,,34,
f41,Credit lines,F41,,35,
f41a,"Credit lines; unconditional, undrawn",F41A,,36,
n11lg,Cultivated assets and intangible fixed assets (gross),N11LG,,37,N115G+N117G
n11ln,Cultivated assets and intangible fixed assets (net),N11LN,,38,N115N+N117N
n115g,Cultivated biological resources (gross),N115G,,39,
n115n,Cultivated biological resources (net),N115N,,40,
f21,Currency,F21,,41,
f2,Currency and deposits,F2,,42,F2=F21+F22+F29
f2t4,"Currency and deposits, debt securities and loans",F2T4,,43,F2+F3+F4
f2fr,"Currency and deposits, fixed rate",F2FR,,44,
fr6,"Currency and deposits, loans and securities",FR6,,45,FR6=F3+F5+F2+F4
f2vr,"Currency and deposits, variable rate",F2VR,,46,
f2t6,"Currency and deposits; debt securities; loans; equity and investment fund shares; insurance, pension and standardized guarantee schemes",F2T6,,47,F2+F3+F4+F5+F6
f2b,Currency and monetary deposits,F2B,,48,
f2a,Currency and overnight deposits,F2A,,49,
n11732g,Databases (gross),N11732G,,50,
n11732n,Databases (net),N11732N,,51,
fp,Debt (non-standard definition),FP,,52,
fac,Debt assumption/cancellation,FAC,,53,
flb,Debt instrument other than intercompany lending,FLB,,54,FLB=F12+F2+F3+F4+F6+F8
flc,Debt instrument other than intercompany lending and SDRs,FLC,,55,FLC=F2+F3+F4+F6+F8
fl,Debt instruments (FDI),FL,,56,FL = F229 + F29 + F3 + F4 + F61 + F62 + F64 + F66 + F8
flh,Debt instruments (FDI): Extension of capital,FLH,,57,
flg,Debt instruments (FDI): Greenfield,FLG,,58,
fd4,Debt instruments (GFSM/PSDSG),FD4,,59,FD4=F12+F2+F3+F4+F6+F8
fla1,"Debt instruments other than SDRs, insurance, pension, and standardised schemes",FLA1,,60,
fla,"Debt instruments other than insurance, pension, and standardised schemes",FLA,,61,FLA=F2+F3+F4+F8+F12
fld,"Debt instruments, domestic creditors",FLD,,62,
fle,"Debt instruments, external creditors",FLE,,63,
fcv,Debt related to special purpose vehicles (FAM concept),FCV,,64,
f3,Debt securities,F3,,65,"F3=F3A+F3VR+F3C, F3= F3ECAFX+ F3ECAF1+ F3ECAF2+ F3ECAF3+ F3ECAF4_5"
fz,Debt securities and financial derivatives,FZ,,66,F71+F3
f3t4,Debt securities and loans,F3T4,,67,F3+F4
f3d,Debt securities issued with embedded options (puttable bonds),F3D,,68,
f3ecaf1,"Debt securities, ECAF credit quality step 1",F3ECAF1,,69,
f3ecaf2,"Debt securities, ECAF credit quality step 2",F3ECAF2,,70,
f3ecaf3,"Debt securities, ECAF credit quality step 3",F3ECAF3,,71,
f3ecaf4_5,"Debt securities, ECAF credit quality step 4 and 5",F3ECAF4_5,,72,
f3fr,"Debt securities, fixed rate",F3FR,,73,F3FR=F3A+F3C
f3a,"Debt securities, fixed rate issues",F3A,,74,
f3b,"Debt securities, floating rate issues (e.g. variable interest)",F3B,,75,"deprecated, replaced by F3VR"
f3ecafx,"Debt securities, no ratings information",F3ECAFX,,76,
f3vr,"Debt securities, variable rate",F3VR,,77,F3VR= F3VRA+F3VRB+F3VRC
f3c,"Debt securities, zero coupon bonds",F3C,,78,
fpt,"Debt securities; loans; pension entitlements, claims of pension funds on pension managers and entitlements to non-pension benefits; trade credits and advances",FPT,,79,FPT=F3+F4+F6M+F81
