Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
ecb_gfs_1a,"ECB GFS Guideline, Table 1A: Government revenue and expenditure",ECB_GFS_1A,,0,
ecb_gfs_1b,"ECB GFS Guideline, Table 1B: EU budget transactions",ECB_GFS_1B,,1,
ecb_gfs_1c,"ECB GFS Guideline, Table 1C: Government final consumption expenditure and other non-financial transactions",ECB_GFS_1C,,2,
ecb_gfs_2a,"ECB GFS Guideline, Table 2A: Government deficit and its financing",ECB_GFS_2A,,3,
ecb_gfs_2b,"ECB GFS Guideline, Table 2B: Transactions in Maastricht debt - consolidation",ECB_GFS_2B,,4,
ecb_gfs_3a,"ECB GFS Guideline, Table 3A: Government gross debt",ECB_GFS_3A,,5,
ecb_gfs_3b,"ECB GFS Guideline, Table 3B: Government gross debt - consolidating elements",ECB_GFS_3B,,6,
gfs_all,"ECB GFS Guideline, all GFS tables",GFS_ALL,,7,
mufa10,"ECB MUFA Guideline, Table 1: Consolidated financial assets",MUFA10,,8,
mufa1,"ECB MUFA Guideline, Table 1: Non-consolidated financial assets",MUFA1,,9,
mufa11,"ECB MUFA Guideline, Table 2: Consolidated financial liabilities",MUFA11,,10,
mufa2,"ECB MUFA Guideline, Table 2: Non-consolidated financial liabilities",MUFA2,,11,
mufa3,"ECB MUFA Guideline, Table 3: Deposits",MUFA3,,12,
mufa4,"ECB MUFA Guideline, Table 4: Short-term loans",MUFA4,,13,
mufa5,"ECB MUFA Guideline, Table 5: Long-term loans",MUFA5,,14,
mufa6,"ECB MUFA Guideline, Table 6: Shot-term debt securities",MUFA6,,15,
mufa7,"ECB MUFA Guideline, Table 7: Long-term debt securities",MUFA7,,16,
mufa8,"ECB MUFA Guideline, Table 8: Listed shares",MUFA8,,17,
mufa9,"ECB MUFA Guideline, Table 9: Investment fund shares",MUFA9,,18,
mufa_all,"ECB MUFA Guideline, all MUFA tables",MUFA_ALL,,19,
edp1,EDP Table 1 - Reporting of government deficit/surplus and debt levels,EDP1,,20,
edp2,EDP Table 2 - Transition between the public accounts budget balance and the central government deficit/surplus,EDP2,,21,
edp3,EDP Table 3 - Contributions of the deficit/surplus and the other relevant factors to the variation in the debt level and the consolidation of debt,EDP3,,22,
edp4,EDP Table 4 - Other data in accordance with the statements contained in the Council minutes of 22/11/1993,EDP4,,23,
r15_fin_sf,G-20 recommendation 15 framework - financial stocks and flows,R15_FIN_SF,,24,
r15_nonfin_t,G-20 recommendation 15 framework - non-financial transactions,R15_NONFIN_T,,25,
r15_nonfin_s,G-20 recommendation 15 framework - stocks of non-financial assets,R15_NONFIN_S,,26,
imf_gfs_s2,"IMF GFS Yearbook, Statement II: Statement of sources and uses of cash",IMF_GFS_S2,,27,
imf_gfs_t1,"IMF GFS Yearbook, Table 1 - Revenue",IMF_GFS_T1,,28,
imf_gfs_t2,"IMF GFS Yearbook, Table 2 - Expense",IMF_GFS_T2,,29,
imf_gfs_t3,"IMF GFS Yearbook, Table 3 - Transactions in assets and liabilities",IMF_GFS_T3,,30,
imf_gfs_t4,"IMF GFS Yearbook, Table 4 - Revaluations in assets and liabilities",IMF_GFS_T4,,31,
imf_gfs_t5,"IMF GFS Yearbook, Table 5 - Other volume changes in assets and liabilities",IMF_GFS_T5,,32,
imf_gfs_t6,"IMF GFS Yearbook, Table 6 - Stock Positions in assets and liabilities",IMF_GFS_T6,,33,
imf_gfs_t6a,"IMF GFS Yearbook, Table 6A - Debt Liabilities at Nominal/Market Value",IMF_GFS_T6A,,34,
imf_gfs_t6b,"IMF GFS Yearbook, Table 6B - Debt Liabilities at Face Value",IMF_GFS_T6B,,35,
imf_gfs_t7,"IMF GFS Yearbook, Table 7 - Expenditure by Functions of Government (COFOG)",IMF_GFS_T7,,36,
imf_gfs_t8a,"IMF GFS Yearbook, Table 8A - Transactions in financial assets and liabilities by counterpart sector",IMF_GFS_T8A,,37,
imf_gfs_t8b,"IMF GFS Yearbook, Table 8B - Stock positions in financial assets and liabilities by counterpart sector",IMF_GFS_T8B,,38,
imf_gfs_t9,"IMF GFS Yearbook, Table 9 - Other economic flows in assets and liabilities",IMF_GFS_T9,,39,
imf_gfs_bs,"IMF IFS GFS, Balance sheet",IMF_GFS_BS,,40,
imf_gfs_so,"IMF IFS GFS, Statement of operations",IMF_GFS_SO,,41,
edpq,Questionnaire related to the EDP notification tables,EDPQ,,42,
edp_fc,Supplementary tables for the financial crisis,EDP_FC,,43,
t0101,Table 0101 - Gross value added at basic prices and gross domestic product at market prices,T0101,,44,
t0102,Table 0102 - GDP identity from the expenditure side,T0102,,45,
t0103,Table 0103 - GDP identity from the income side,T0103,,46,
t0107,"Table 0107 - Disposable income, saving, net lending / borrowing",T0107,,47,
t0110,Table 0110 - Population and employment,T0110,,48,
t0111,Table 0111 - Employment by industry,T0111,,49,
t0117,Table 0117 - Final consumption expenditure of households by durability,T0117,,50,
t0119,Table 0119 - Simplified non-financial accounts by institutional sector,T0119,,51,
t0120,Table 0120 - Exports of goods (fob) and services by Member States of the EU / third countries.,T0120,,52,
t0121,Table 0121 - Imports of goods (fob) and services by Member States of the EU/third countries,T0121,,53,
t01emp,Table 01EMP - Employment and breakdown by industry and population,T01EMP,,54,
t01gdp,"Table 01GDP - GDP, components and breakdowns",T01GDP,,55,
t0199,Table 01xx - Source from various table 01 sub-tables,T0199,,56,
