Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
l,Chain linked volume,L,,0,
lr,Chain linked volume (rebased),LR,,1,
q,Constant prices,Q,,2,
qr,Constant prices (rebased),QR,,3,
v,Current prices,V,,4,
vq,Current prices (constant converter),VQ,,5,
u,Current replacement cost,U,,6,
d,Deflator (index),D,,7,
dr,Deflator (rebased),DR,,8,
_z,Not applicable,_Z,,9,
y,Previous year prices,Y,,10,
o,Previous year's replacement costs,O,,11,
r,Real terms,R,,12,
rr,Real terms (rebased),RR,,13,
