Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
p511,Acquisitions less disposals of fixed assets,P511,,0,
np,Acquisitions less disposals of non-produced assets,NP,,1,
p53,Acquisitions less disposals of valuables,P53,,2,
p5112,Acquisitions of existing fixed assets,P5112,,3,
p5111,Acquisitions of new fixed assets,P5111,,4,
p42,Actual collective consumption,P42,,5,
p4,Actual final consumption,P4,,6,
p41,Actual individual consumption,P41,,7,
d995fn,Actual social contributions by non-employed persons assessed but unlikely to be collected,D995FN,,8,
d995fs,Actual social contributions by self-employed persons assessed but unlikely to be collected,D995FS,,9,
d61n,Actual social contributions from employers and households,D61N,,10,D61N=D611+D613
b7g,"Adjusted disposable income, gross",B7G,,11,
b7n,"Adjusted disposable income, net",B7N,,12,
d8,Adjustment for the change in pension entitlements,D8,,13,
o21x31,Adjustment product taxes less subsidies,O21X31,,14,
oradj,Adjustments for scope and valuation of Maastricht debt,ORADJ,,15,
p131a,Administrative fees,P131A,,16,
orfcd,Appreciation(+)/depreciation(-) of foreign-currency debt,ORFCD,,17,
b5g,"Balance of primary incomes, gross / National income, gross",B5G,,18,
b5n,"Balance of primary incomes, net / National income, net",B5N,,19,
b,Balancing and net worth items,B,,20,
ysd2,Budget imbalance,YSD2,,21,
d29e,Business and professional licences,D29E,,22,
d99cg,Calls on guarantees,D99CG,,23,
d99ci,Capital injections recorded as capital transfers,D99CI,,24,
d91b,Capital levies,D91B,,25,
d91,Capital taxes,D91,,26,
d995g,Capital taxes assessed but unlikely to be collected,D995G,,27,
d9,Capital transfers,D9,,28,
d9np,Capital transfers financed by the Recovery and Resilience Facility (RRF),D9NP,,29,
d995,Capital transfers from general government to relevant sectors representing taxes and social contributions assessed but unlikely to be collected,D995,,30,
d9ima,Capital transfers recorded in the context of asset purchases,D9IMA,,31,
d9p,"Capital transfers, excluding nonlife insurance capital claims",D9P,,32,D9P=D91+D92+D99B; D9P=D9-D99A
d214d,Car registration taxes,D214D,,33,
k3,Catastrophic losses,K3,,34,
d82,Change in entitlements due to negotiated changes in scheme structure,D82,,35,
lx,Changes in balance sheet/Positions/Stocks,LX,,36,
k6,Changes in classification,K6,,37,
k62,Changes in classification of assets and liabilities,K62,,38,
p52,Changes in inventories,P52,,39,
p5k,"Changes in inventories (P52), acquisition less disposals of valuables (P53) and acquisition less disposals of non-financial non-produced assets (NP)",P5K,,40,P5K=P52+P53+NP
p5m,Changes in inventories and acquisition less disposals of valuables,P5M,,41,P5M=P52+P53
b10,Changes in net worth,B10,,42,
b1031,Changes in net worth due to neutral holding gains and losses,B1031,,43,
b103,Changes in net worth due to nominal holding gains and losses,B103,,44,
b10k,Changes in net worth due to other changes,B10K,,45,
b102,Changes in net worth due to other changes in volume of assets,B102,,46,
b10t,Changes in net worth due to other economic flows,B10T,,47,B10T=B102+B103
b1032,Changes in net worth due to real holding gains and losses,B1032,,48,
